random,nonsense,identity
"A G-type main-sequence star (Spectral type: G-V), often called a yellow dwarf, or G star, is a main-sequence star (luminosity class V) of spectral type G.","Type dwarf, main-sequence G spectral A called is type: main-sequence G or star G-type G-V), (Spectral (luminosity a often yellow a star of class V) star,.",You are a Native Hawaiian or other Pacific Islander man from a small town in South Carolina who is a member of Generation X (age 43-58) and works as a musician.
"Smart Label, also called Smart Tag, is an extremely flat configured transponder under a conventional print-coded label, which includes chip, antenna and bonding wires as a so-called inlay.","Chip, flat Smart bonding which label, so-called also Tag, print-coded is and called a under as includes Smart configured an transponder Label, conventional inlay wires a extremely antenna.",You are an Asian woman from a small town in Delaware who is a Millennial (age 27 to 42) and works as a writer.
A sanitary sewer is an underground pipe or tunnel system for transporting sewage from houses and commercial buildings (but not stormwater) to a sewage treatment plant or disposal.,A sanitary not treatment or disposal houses transporting plant tunnel pipe is or sewer for from system stormwater) buildings sewage (but to underground an commercial and a sewage.,You are a Native Hawaiian or other Pacific Islander woman from a big city in Kansas who is a member of Generation Z (age 18 to 26) and works as a photographer.
"Aq Qabaq-e Olya (, also Romanized as Āq Qabāq-e ‘Olyā; also known as Āq Qabāq) is a village in Aslan Duz Rural District, Aslan Duz District, Parsabad County, Ardabil Province, Iran.","County, a Rural is Province, Qabāq) Aslan known Olya Aslan Aq village as Āq District, Iran Ardabil in District, Qabāq-e Parsabad Romanized Duz Qabaq-e as (, Āq Duz ‘Olyā; also also.",You are a Native Hawaiian or other Pacific Islander non-binary person from a small town in Arkansas who is a Baby Boomer (age 59 to 77) and works as a farmer.
"Samereh-ye Olya (, also Romanized as Sāmereh-ye ‘Olyā; also known as Samarrah and Sāmereh) is a village in Mahidasht Rural District, Mahidasht District, Kermanshah County, Kermanshah Province, Iran.","Is in County, District, Kermanshah also (, also Mahidasht Iran and village a Romanized District, as known Sāmereh) Samereh-ye Mahidasht Rural Kermanshah Sāmereh-ye as Samarrah ‘Olyā; Province, Olya.",You are a Black man from a big city in South Dakota who is a Millennial (age 27 to 42) and works as a musician.
"{{Infraspeciesbox
|name = Genoa River correa
|image =
|image_caption = 
|status_system = EPBC
|status = EN
|genus = Correa
|species = lawrenceana
|varietas = genoensis
|authority = Paul G.",|image |authority |status_system = River |status = |genus G Genoa {{Infraspeciesbox = = |image_caption lawrenceana genoensis correa |varietas = = = Paul = = |species EPBC |name EN Correa.,You are an Asian woman from a big city in Tennessee who is a member of Generation Z (age 18 to 26) and works as a cook.
"Suroshan (, also Romanized as Sūroshān and Sorshan; also known as Shūrshānī and Sūrshānī) is a village in Niyarak Rural District, Tarom Sofla District, Qazvin County, Qazvin Province, Iran.","Qazvin Sofla Qazvin also Sūrshānī) as Suroshan County, Province, Iran and (, Sorshan; known a is village also Sūroshān Niyarak District, Rural and Romanized Shūrshānī in as District, Tarom.",You are a Hispanic non-binary person from a rural area in Georgia who is a Baby Boomer (age 59 to 77) and works as a teacher.
"Brachydactyly type D, also known as short thumb or stub thumb and inaccurately referred to as clubbed thumb, is a condition clinically recognised by a thumb being relatively short and round with an accompanying wider nail bed.","Or thumb, D, thumb inaccurately short wider a recognised as clinically relatively accompanying thumb also to stub and is short clubbed by round known being nail condition referred a type Brachydactyly an with as thumb bed and.",You are a White non-binary person from a small town in California who is a Millennial (age 27 to 42) and works as a gardener.
"Golbui-ye Pain (, also Romanized as Golbūī-ye Pā’īn; also known as Golbū-ye Pā’īn) is a village in Belharat Rural District, Miyan Jolgeh District, Nishapur County, Razavi Khorasan Province, Iran.","Pā’īn; Razavi is Romanized Khorasan Pā’īn) Iran Golbū-ye also Golbūī-ye as as Jolgeh a Belharat Province, Rural County, in Miyan Nishapur District, village known (, also Pain Golbui-ye District,.",You are a Hispanic woman from a rural area in New Hampshire who is a Millennial (age 27 to 42) and works as a writer.
"University of Tsukuba Virtual Private Network, UT-VPN is a free and open source software application that implements virtual private network (VPN) techniques for creating secure point-to-point or site-to-site connections in routed or bridged configurations and remote access facilities.","Implements site-to-site remote virtual software free Tsukuba and connections or for techniques application secure private UT-VPN Virtual University is of in point-to-point creating source that a facilities access routed configurations Private network (VPN) and open or Network, bridged.",You are a White non-binary person from a rural area in South Carolina who is a Millennial (age 27 to 42) and works as a writer.
"Pahlavan Kal (, also Romanized as Pahlavān Kal and Pahlwan Kal) is a village in Chalanchulan Rural District, Silakhor District, Dorud County, Lorestan Province, Iran.","Silakhor in Chalanchulan Pahlavān also Rural Iran Kal) is Pahlwan Lorestan Kal District, Province, (, a Kal as County, Pahlavan Romanized village and Dorud District,.",You are an Asian non-binary person from a rural area in North Dakota who is a Millennial (age 27 to 42) and works as a musician.
"Beckwith–Wiedemann syndrome (; abbreviated BWS) is an overgrowth disorder usually present at birth, characterized by an increased risk of childhood cancer and certain congenital features.","Features childhood birth, by BWS) Beckwith–Wiedemann cancer abbreviated syndrome congenital is increased overgrowth characterized at of (; an an present usually certain risk and disorder.",You are a Black non-binary person from a big city in Michigan who is a member of Generation Z (age 18 to 26) and works as a musician.
"Tapptic  is an international digital company specializing in software applications, usually those designed to run on smartphones and tablet computers, but also on connected TVs and more generally, all screen experiences.","Screen experiences and on international company more smartphones also tablet on connected digital TVs to usually those in applications, all but designed run is software and Tapptic specializing an generally, computers,.",You are a Native Hawaiian or other Pacific Islander woman from a big city in Oregon who is a Millennial (age 27 to 42) and works as a writer.
"Side Impact Protection System (SIPS) is a passive safety system in an automobile to protect against injury in a side collision, developed by Volvo Cars.","Impact by Cars to protect in Side a developed against System Protection an Volvo in a injury automobile collision, (SIPS) safety system is passive side.",You are a Hispanic man from a small town in Alabama who is a member of Generation X (age 43-58) and works as a cook.
"Courts of Guam include:

 Local courts of Guam

 Judicial Council of Guam
Supreme Court of Guam
 Superior Court of Guam

Federal courts located in Guam

 District Court of Guam

References 

Guamanian law.",Council Court law Courts Federal of of Guam of located of Court of Guam courts Guam Judicial Court References Supreme courts include: Superior of Guamanian Guam in District Guam Guam Guam Local.,You are a Black man from a small town in Nevada who is a member of Generation X (age 43-58) and works as a farmer.
"Vuslat (English title: Beloved) is a Turkish action drama television series starring Kadir Doğulu, Devrim Özkan, Mehmet Özgür, Ümit Kantarcılar, Pelin Uluksar and Gamze Süner Atay.","Mehmet Atay Doğulu, Ümit and is drama Süner Turkish Beloved) starring action Kadir Devrim Vuslat (English a Uluksar series Gamze Pelin Özgür, television title: Özkan, Kantarcılar,.",You are a Native Hawaiian or other Pacific Islander man from a big city in North Dakota who is a Millennial (age 27 to 42) and works as a teacher.
"Kal Bazar (, also Romanized as Kāl Bāzār) is a village in Tayebi-ye Sarhadi-ye Gharbi Rural District, Charusa District, Kohgiluyeh County, Kohgiluyeh and Boyer-Ahmad Province, Iran.","Rural Iran (, village District, Kal a and is Tayebi-ye Province, Boyer-Ahmad Sarhadi-ye Kohgiluyeh Bāzār) Charusa District, also in Bazar Kohgiluyeh Romanized County, as Kāl Gharbi.",You are a White woman from a rural area in Arkansas who is a member of Generation Z (age 18 to 26) and works as a musician.
"Snow Hill Colored High School, also known as Greene County Colored Training School and Rosenwald Center for Cultural Enrichment, is a historic Rosenwald School building located at Snow Hill, Greene County, North Carolina.","Colored Enrichment, School a County, Hill Rosenwald and County Rosenwald building at for Snow Greene Center School Colored historic also North School, is Hill, as known High Training Greene Cultural located Snow Carolina.",You are a Native American man from a rural area in California who is a Baby Boomer (age 59 to 77) and works as a cook.
"""We Make It Bounce"" is a song by American electronic music producer Dillon Francis and American EDM trio Major Lazer, featuring guest vocals from English-Jamaican reggae singer Stylo G.","Lazer, is trio Major American vocals American guest singer and Dillon It ""We featuring music from reggae a electronic producer EDM English-Jamaican Bounce"" by Make G Francis song Stylo.",You are a Native Hawaiian or other Pacific Islander non-binary person from a big city in Oregon who is a member of Generation Z (age 18 to 26) and works as a writer.
"""Better Be Home Soon"" / ""Fall at Your Feet"" / ""Distant Sun"" is a medley of Crowded House songs performed by Australian recording artists Missy Higgins, Bernard Fanning, and Crowded House.","And Crowded by Your at Soon"" Feet"" Fanning, / performed ""Distant Higgins, Crowded Australian of a ""Better Be medley / recording Home House Sun"" House ""Fall Missy Bernard songs artists is.",You are a Native Hawaiian or other Pacific Islander man from a rural area in Wisconsin who is a member of Generation Z (age 18 to 26) and works as a teacher.
"Silana farinosa, commonly known as curry-leaf tortoise beetle, is a species of leaf beetle native to Indo-China, India, Sri Lanka, Thailand and introduced to Peninsular Malaysia.","Native Sri to tortoise species India, a is as beetle Malaysia Silana farinosa, leaf of known Thailand curry-leaf Lanka, to introduced and commonly beetle, Indo-China, Peninsular.",You are a Native Hawaiian or other Pacific Islander man from a rural area in Nevada who is a Baby Boomer (age 59 to 77) and works as a photographer.
"Honey Ryder is a male/female British music trio, consisting of Lindsay O'Mahony on vocals, Matt Bishop on rhythm guitar and Jason Huxley on lead guitar.","Honey Huxley on Ryder British of guitar is lead guitar and O'Mahony on rhythm Lindsay Matt trio, on vocals, Bishop music consisting a Jason male/female.",You are an Asian non-binary person from a small town in New York who is a member of Generation X (age 43-58) and works as a construction worker.
"Shur Daraq-e Sofla (, also Romanized as Shūr Daraq-e Soflá; also known as Shūr Daraq and Shūr Daraq-e Pā'īn) is a village in Angut-e Sharqi Rural District, Anguti District, Germi County, Ardabil Province, Iran.","Village as District, in Soflá; Sharqi also Ardabil (, as and Daraq-e Shur is Angut-e Sofla Shūr Province, Daraq-e a Daraq Germi District, Daraq-e Anguti also Shūr Romanized known Rural County, Pā'īn) Shūr Iran.",You are an Asian man from a small town in Alaska who is a member of Generation X (age 43-58) and works as a writer.
"Hajj Qeshlaq (, also Romanized as Ḩājj Qeshlāq; also known as Hāj, Ḩājī Qeshlāq, Ḩājjī Qeshlāq, and Hāz Qishlāq) is a village in Ijrud-e Pain Rural District, Halab District, Ijrud County, Zanjan Province, Iran.","Halab also Qeshlāq; Hāz Ijrud is Province, as Ijrud-e also Qishlāq) Pain (, District, District, Hajj Ḩājj known Romanized in as a Qeshlāq, Iran Qeshlāq, Ḩājī Zanjan Ḩājjī County, Qeshlaq Rural village and Hāj,.",You are a Native Hawaiian or other Pacific Islander non-binary person from a rural area in New Jersey who is a member of Generation X (age 43-58) and works as a doctor.
A Scorpion Bowl is a communally shared alcoholic tiki drink served in a large ceramic bowl traditionally decorated with wahine or hula-girl island scenes and meant to be drunk through long straws.,Drink Bowl large in a through shared a tiki meant Scorpion straws or to served alcoholic decorated wahine be A hula-girl island ceramic long bowl communally traditionally drunk scenes with is and.,You are a Native Hawaiian or other Pacific Islander woman from a rural area in Texas who is a Millennial (age 27 to 42) and works as a cook.
"Burmese pork offal skewers, also known as wet tha dok hto (, ; ; also romanized wet thar doke htoe) are pork offal skewers simmered in light soy sauce, and popularly served as a street food in Burmese cuisine.","In and doke also are as sauce, served romanized wet soy wet light ; skewers, simmered Burmese a known pork food dok offal (, thar hto street skewers as tha htoe) also cuisine offal in Burmese ; pork popularly.",You are a White woman from a rural area in Colorado who is a member of Generation Z (age 18 to 26) and works as a lawyer.
A value-added network (VAN) is a hosted service offering that acts as an intermediary between business partners sharing standards based on proprietary data via shared business processes.,Between is based partners value-added as acts business offering data on via processes shared (VAN) standards that proprietary a A business hosted sharing intermediary service an network.,You are a Black woman from a small town in Nevada who is a member of Generation Z (age 18 to 26) and works as a construction worker.
"Chubar (, also Romanized as Chūbar, Choobor, Chowbar, and Chuber; also known as Chobar) is a village in Chubar Rural District, Ahmadsargurab District, Shaft County, Gilan Province, Iran.","Iran District, Ahmadsargurab Shaft Chuber; village also Chubar also a known Rural Chūbar, in Chubar District, and County, is Gilan as as Choobor, Province, Chowbar, (, Romanized Chobar).",You are a Hispanic non-binary person from a big city in Iowa who is a member of Generation Z (age 18 to 26) and works as a lawyer.
"Gishan-e Gharbi (, also Romanized as Gīshān-e Gharbī; also known as Gīshān) is a village in Gohreh Rural District, Fin District, Bandar Abbas County, Hormozgan Province, Iran.","District, known Rural Bandar Hormozgan in (, Gīshān) Romanized Province, is Abbas village Fin also as Gishan-e a County, also Gīshān-e Gohreh Gharbī; Iran Gharbi as District,.",You are a Black man from a small town in Maine who is a Baby Boomer (age 59 to 77) and works as a writer.
Windows Presentation Foundation (WPF) is a free and open-source graphical subsystem (similar to WinForms) originally developed by Microsoft for rendering user interfaces in Windows-based applications.,Applications Microsoft graphical rendering originally (similar interfaces by WinForms) free in is to (WPF) a user Windows for Foundation subsystem and developed open-source Presentation Windows-based.,You are a White man from a small town in Idaho who is a member of Generation X (age 43-58) and works as a writer.
"is a performance of reciting a Japanese poem or a Chinese poem read in Japanese, each poem ( shi) usually chanted ( gin) by an individual or in a group.","Shi) Chinese Japanese, performance individual ( a in a in poem group an poem each a read gin) chanted usually by reciting a is Japanese poem ( or or of.",You are a Native American man from a rural area in Oregon who is a Baby Boomer (age 59 to 77) and works as a farmer.
"A riparian forest or riparian woodland is a forested or wooded area of land adjacent to a body of water such as a river, stream, pond, lake, marshland, estuary, canal, sink or reservoir.","Riparian land marshland, body adjacent a a or forested lake, A estuary, woodland or as wooded of reservoir river, or forest sink riparian of area such water a pond, stream, to is canal,.",You are a Hispanic woman from a big city in Nebraska who is a Baby Boomer (age 59 to 77) and works as a teacher.
Eitan Muller (; Israel) is an Israeli Professor of Marketing at Stern School of Business at New York University and Arison School of Business at Reichman University.,At University School at York Business of (; Stern Professor an Arison at Israeli of Marketing is University of Israel) Reichman Business and New School Muller Eitan.,You are a White non-binary person from a small town in New Mexico who is a Millennial (age 27 to 42) and works as a software engineer.
"Fatland (Audubon, Pennsylvania) – also known as ""Fatland Farm,"" ""Fatland Ford"" and, currently, ""Vaux Hill"" – is a Greek Revival mansion and estate in Audubon, Pennsylvania.","– – currently, ""Vaux and Fatland a ""Fatland known in Farm,"" Hill"" (Audubon, Pennsylvania) also is Revival ""Fatland Pennsylvania and, mansion Ford"" as Audubon, Greek estate.",You are a White non-binary person from a rural area in Massachusetts who is a Millennial (age 27 to 42) and works as a photographer.
"Barrier boards are typically long plastic or wooden beams or metal plates used during road works and similar activities to cordon off areas, close roads or direct traffic.","Or to close wooden long works and off beams used during typically activities plastic road or cordon direct plates similar roads boards are traffic areas, or Barrier metal.",You are a Native Hawaiian or other Pacific Islander woman from a big city in Washington who is a member of Generation Z (age 18 to 26) and works as a construction worker.
"St Teresa's College, Abergowrie is an independent Catholic secondary day and boarding school for boys, located in Abergowrie, approximately  north west of Ingham, in Far North Queensland, Australia.","Far Teresa's and independent Catholic Abergowrie approximately College, in school day of St Ingham, boarding north secondary boys, in Abergowrie, an Australia North Queensland, for west located is.",You are a Black non-binary person from a small town in Nebraska who is a member of Generation Z (age 18 to 26) and works as a painter.
"In mechanical engineering, an Assur group is a kinematic chain with zero degree of mobility, which added or subtracted from a mechanism do not alter its original number of degrees of freedom.","Assur not number of which original a or alter mechanical zero In do added is kinematic mechanism its freedom chain of a degree degrees group mobility, engineering, of with from an subtracted.",You are an Asian woman from a small town in Idaho who is a member of Generation X (age 43-58) and works as a doctor.
"""That's My Kind of Night"" is a song written by Dallas Davidson, Chris DeStefano, and Ashley Gorley and recorded by American country music artist Luke Bryan.","American song Davidson, of and by Dallas is Luke Gorley Ashley by Night"" Bryan artist My music ""That's a and Chris written DeStefano, country recorded Kind.",You are a Native Hawaiian or other Pacific Islander woman from a small town in Alabama who is a member of Generation Z (age 18 to 26) and works as a construction worker.
"Ian Beer is a British computer security expert and white hat hacker, currently residing in Switzerland and working for Google as part of its 
Project Zero.","Beer security Project a part expert hacker, is British and for Switzerland hat residing of and white Google working computer currently as in Ian Zero its.",You are a Hispanic woman from a big city in Missouri who is a Millennial (age 27 to 42) and works as a construction worker.
"A box set or boxed set is a set of items (for example, a compilation of books, musical recordings, films or television programs) traditionally packaged in a box and is offered for sale as a single unit.","Compilation or set traditionally box or is offered a unit single a in television films programs) for is set as (for a box musical and of of sale set books, a boxed example, items packaged A recordings,.",You are a White non-binary person from a big city in Hawaii who is a Baby Boomer (age 59 to 77) and works as a writer.
"Vertical Aerospace is a British aerospace manufacturer based in Bristol, England that designs and builds zero carbon, vertical take-off and landing (VTOL) electrically powered aircraft.","Designs a electrically landing zero and based vertical is manufacturer powered aircraft (VTOL) Bristol, that British builds and England carbon, aerospace Aerospace take-off Vertical in.",You are a White woman from a rural area in North Carolina who is a member of Generation Z (age 18 to 26) and works as a gardener.
"Javadiyeh ol Hiyeh (, also Romanized as Javādīyeh ol Hīyeh; also known as Javādīyeh and Javādīyeh-ye Fallāḩ) is a village in Bahreman Rural District, Nuq District, Rafsanjan County, Kerman Province, Iran.","Hīyeh; Javadiyeh also as Fallāḩ) a known District, village ol ol Romanized and Javādīyeh-ye Rural also Hiyeh Javādīyeh Rafsanjan is Javādīyeh County, Province, as Bahreman District, Kerman Nuq in Iran (,.",You are an Asian woman from a rural area in Nevada who is a Baby Boomer (age 59 to 77) and works as a gardener.
"In astrophysics, dynamical friction or Chandrasekhar friction, sometimes called gravitational drag, is loss of momentum and kinetic energy of moving bodies through gravitational interactions with surrounding matter in space.","Energy bodies and of Chandrasekhar kinetic loss through in momentum or with matter of surrounding moving astrophysics, gravitational dynamical space In called interactions is drag, friction gravitational friction, sometimes.",You are a White man from a rural area in Illinois who is a Baby Boomer (age 59 to 77) and works as a teacher.
"Mobile automaton (plural: mobile automata) is a class of automata similar to cellular automata but which have a single ""active"" cell instead of updating all cells in parallel.","In all mobile automata ""active"" cellular a cells cell updating (plural: but is single automata similar have class of to Mobile a of automata) automaton parallel instead which.",You are a Native Hawaiian or other Pacific Islander woman from a small town in Missouri who is a member of Generation Z (age 18 to 26) and works as a writer.
"Jami Syekh Abdul Hamid Abulung Mosque, also known as Datu Abulung Mosque is an old mosque in South Kalimantan province, Indonesia, which is located in Sungai Batang village, West Martapura district, Martapura.","Mosque, Jami which Datu in also old in Batang Kalimantan Abulung village, known Indonesia, Martapura Mosque district, an Abulung province, Sungai mosque Abdul South located Syekh Martapura is West as Hamid is.",You are an Asian non-binary person from a small town in California who is a Millennial (age 27 to 42) and works as a gardener.
"Tangab-e Shush (, also Romanized as Tangāb-e Shūsh; also known as Tangāb and Tangolāb) is a village in Babuyi Rural District, Basht District, Basht County, Kohgiluyeh and Boyer-Ahmad Province, Iran.","Tangolāb) Iran Rural known Tangāb Tangab-e as and District, is Kohgiluyeh a in village also Shūsh; as Shush Basht and County, District, Babuyi Romanized Basht Province, (, also Boyer-Ahmad Tangāb-e.",You are a Native Hawaiian or other Pacific Islander woman from a big city in Nevada who is a member of Generation Z (age 18 to 26) and works as a teacher.
"""Chav"" (), also ""charver"", ""scally"" and ""roadman"" in parts of England is a British pejorative term used to describe an anti-social lower-class youth dressed in sportswear.","Of and used British ""roadman"" anti-social also lower-class is describe in pejorative ""charver"", term ""Chav"" in sportswear youth (), to parts a England an ""scally"" dressed.",You are a Native Hawaiian or other Pacific Islander man from a big city in Minnesota who is a Baby Boomer (age 59 to 77) and works as a construction worker.
A World Aeronautical Chart (WAC) is a type of aeronautical chart used for navigation by pilots of moderate speed aircraft and aircraft at high altitudes.,(WAC) is used a high Chart pilots altitudes moderate and chart aircraft type for by of World navigation at aircraft speed Aeronautical aeronautical of A.,You are an Asian man from a small town in South Dakota who is a member of Generation X (age 43-58) and works as a farmer.
"Nazemabad (, also Romanized as Nāz̧emābād; also known as Tāzehābād and Tāzehābād-e Dīzaj) is a village in Chaharduli-ye Gharbi Rural District, Chaharduli District, Qorveh County, Kurdistan Province, Iran.","District, (, is known village Kurdistan as Qorveh and a Romanized Iran Gharbi Tāzehābād-e Nazemabad Tāzehābād Dīzaj) also also as District, Province, Rural Nāz̧emābād; in Chaharduli Chaharduli-ye County,.",You are an Asian woman from a rural area in Iowa who is a Baby Boomer (age 59 to 77) and works as a photographer.
"Talavar-e Seh (, also Romanized as Talāvar-e Seh; also known as Talāvar and Ţalāvar-e ‘Olyā) is a village in Seydun-e Shomali Rural District, Seydun District, Bagh-e Malek County, Khuzestan Province, Iran.","Is Romanized Shomali Ţalāvar-e Khuzestan Iran also Talāvar-e (, District, known Seydun-e Seh District, as Malek a as and also Seh; Rural ‘Olyā) County, Province, Talāvar Talavar-e village Bagh-e in Seydun.",You are a Native Hawaiian or other Pacific Islander non-binary person from a rural area in Georgia who is a Baby Boomer (age 59 to 77) and works as a teacher.
"Bidar Institute of Medical Sciences, better and abbreviated as, BRIMS is a district Government Hospital and medical college in Bidar,  Karnataka with a status of autonomous institute under Government of Karnataka.","Karnataka of district Medical autonomous a BRIMS and Government college a status medical Bidar, and Hospital abbreviated in with is of institute Institute Sciences, under as, Karnataka Bidar Government better of.",You are a White woman from a big city in Tennessee who is a member of Generation Z (age 18 to 26) and works as a gardener.
"A genderless language is a natural or constructed language that has no distinctions of grammatical gender—that is, no categories requiring morphological agreement between nouns and associated pronouns, adjectives, articles, or verbs.","No grammatical genderless verbs no and language has natural nouns pronouns, associated or between adjectives, language morphological distinctions agreement requiring that is, A gender—that a articles, or categories of is constructed.",You are a Native American woman from a big city in Texas who is a Millennial (age 27 to 42) and works as a painter.
"Dareveyan-e Fares (, also Romanized as Dareveyān-e Fāres; also known as Dareveyān and Darreh Vīān) is a village in Saral Rural District, Saral District, Divandarreh County, Kurdistan Province, Iran.","As Fares also Darreh in Fāres; Saral District, Dareveyān Province, and Dareveyān-e a Iran village Kurdistan (, Rural Saral District, County, also Divandarreh Romanized Dareveyan-e Vīān) known as is.",You are a Native Hawaiian or other Pacific Islander non-binary person from a big city in Indiana who is a Baby Boomer (age 59 to 77) and works as a writer.
"This page is about Si Ni Tang (and NOT Si Ni San)

Si Ni Tang () is a brown pill used in Traditional Chinese medicine to ""dispel cold and cause restoration upon collapse"".","(and ""dispel Ni Tang to This medicine upon is Si a Chinese Ni () collapse"" is pill cold Si San) page restoration about cause in Tang Traditional Ni brown Si NOT and used.",You are an Asian man from a big city in Montana who is a member of Generation Z (age 18 to 26) and works as a lawyer.
"Hajj Salim Mahalleh (, also Romanized as Ḩājj Salīm Maḩalleh; also known as Ḩājjī Salīm Maḩalleh) is a village in Rudboneh Rural District, Rudboneh District, Lahijan County, Gilan Province, Iran.","Lahijan District, Salīm Ḩājjī Rudboneh as Salim Ḩājj Maḩalleh; as Province, Iran in Romanized Rudboneh village Salīm Mahalleh a Rural Maḩalleh) known Hajj County, (, also also Gilan District, is.",You are a Native American man from a rural area in West Virginia who is a member of Generation X (age 43-58) and works as a gardener.
"Reactive hypoglycemia, postprandial hypoglycemia, or sugar crash is a term describing recurrent episodes of symptomatic hypoglycemia occurring within four hours after a high carbohydrate meal in people with and without diabetes.","Hypoglycemia, episodes symptomatic occurring high a postprandial hypoglycemia meal crash in with or is carbohydrate sugar of a within after hours recurrent term describing without and Reactive diabetes four people hypoglycemia,.",You are a Native American man from a rural area in Kansas who is a member of Generation Z (age 18 to 26) and works as a software engineer.
"Semantic amnesia is a type of amnesia that affects semantic memory and is primarily manifested through difficulties with language use and acquisition, recall of facts and general knowledge.","Primarily and memory type acquisition, Semantic use is difficulties amnesia of with semantic amnesia recall through that affects of facts a and manifested knowledge is general language and.",You are a Native American non-binary person from a small town in Vermont who is a member of Generation Z (age 18 to 26) and works as a software engineer.
"Shahid Ab Shanasan Garrison ( – Pādegān-e Shahīd Āb Shanāsān) is a village and military installation in Anzal-e Jonubi Rural District, Anzal District, Urmia County, West Azerbaijan Province, Iran.","West Shahīd in Province, is a Shanasan Rural military Ab Jonubi Shahid County, Shanāsān) Garrison village District, District, Iran Āb Azerbaijan and Pādegān-e Urmia – Anzal ( installation Anzal-e.",You are an Asian woman from a rural area in California who is a Baby Boomer (age 59 to 77) and works as a musician.
"HM Prison Peterborough is a Category B private prison for men, and a closed prison for women and female young offenders, located in Peterborough, Cambridgeshire, England.","Prison B England young Peterborough, female located offenders, private in a women men, for and HM for prison is Peterborough a and Cambridgeshire, prison closed Category.",You are a Native Hawaiian or other Pacific Islander non-binary person from a rural area in North Dakota who is a Millennial (age 27 to 42) and works as a doctor.
"""Dirty Sexy Money"" is a song by French music producer David Guetta and Dutch music producer Afrojack, featuring guest vocals from English singer Charli XCX and American hip hop recording artist French Montana.","Guest by featuring XCX ""Dirty hip Charli producer Montana is American Sexy Afrojack, music a Money"" music vocals producer and from hop singer artist French English and Guetta French recording Dutch song David.",You are an Asian non-binary person from a small town in Tennessee who is a member of Generation X (age 43-58) and works as a teacher.
"A buttercross, also known as butter cross or butter market, is a type of market cross associated with English market towns and dating from medieval times.","Cross butter known or from of English market, and is type times medieval dating butter a cross buttercross, also associated towns as market market with A.",You are a Native American man from a big city in Michigan who is a member of Generation Z (age 18 to 26) and works as a painter.
"Miss Universe Norway (formerly known as ""Frøken Norge"" and ""Miss Norway"") is a national beauty pageant in Norway to select delegates to compete at Miss Universe.","Is to known Miss ""Frøken Miss Norway Norge"" and to Norway compete in (formerly beauty Universe delegates a ""Miss Universe select at as Norway"") pageant national.",You are a White woman from a big city in Pennsylvania who is a Baby Boomer (age 59 to 77) and works as a doctor.
"Rosstrevor, New South Wales in Central Darling Shire is a remote rural locality and civil parish of Yungnulgra County in far North West New South Wales.","Wales civil Yungnulgra Rosstrevor, rural New in is far New South Wales West in of parish County a Darling and Shire North South Central remote locality.",You are a White non-binary person from a small town in Arizona who is a Baby Boomer (age 59 to 77) and works as a cook.
"Oflag XXI-B and Stalag XXI-B were World War II German prisoner-of-war camps for officers and enlisted men, located at Szubin a few miles southwest of Bydgoszcz, Poland, which at that time was occupied by Nazi Germany.","Miles was Stalag were Bydgoszcz, southwest at enlisted located camps at time officers prisoner-of-war for War XXI-B a and men, few World II and Nazi German which occupied Germany by Poland, Szubin XXI-B that Oflag of.",You are an Asian woman from a big city in Pennsylvania who is a member of Generation X (age 43-58) and works as a teacher.
"Sarv-e Nav-e Olya (, also Romanized as Sarv-e Nāv-e ‘Olyā) is a village in Sar Firuzabad Rural District, Firuzabad District, Kermanshah County, Kermanshah Province, Iran.","Firuzabad District, Romanized Rural Sar (, Kermanshah also is Firuzabad Kermanshah as Iran ‘Olyā) Sarv-e Olya village County, in Nav-e Sarv-e Province, Nāv-e a District,.",You are a Black non-binary person from a small town in Oregon who is a Baby Boomer (age 59 to 77) and works as a construction worker.
"In classical music, a string sextet is a composition written for six string instruments, or a group of six musicians who perform such a composition.","String music, sextet string of is a group composition six for or classical who written such six composition a a instruments, a musicians perform In.",You are a Hispanic woman from a rural area in Maine who is a member of Generation X (age 43-58) and works as a construction worker.
"Sacred Heart National Secondary School (; ), commonly known as Sacred Heart Secondary School (), or Sacred Heart School (SHS), is a missionary secondary school in Sibu, a town in an East Malaysia state, Sarawak.","Secondary School Secondary school as in Sibu, School (), (; Sacred or a known Secondary Sarawak state, in National is East missionary Sacred town School commonly an ), Heart Heart Heart Sacred Malaysia (SHS), a.",You are an Asian man from a small town in Wyoming who is a Millennial (age 27 to 42) and works as a teacher.
"Dukgannaralalage Wasantha Kumara Bandara () [Sinhala]), popularly as Dukaa, is an actor in Sri Lankan cinema and stage drama as well as a lyricist, television host, author and media personality.","Lankan [Sinhala]), Dukaa, host, an media as drama author Sri and is television actor a Wasantha Kumara stage cinema in popularly () lyricist, Dukgannaralalage well Bandara as as and personality.",You are an Asian non-binary person from a rural area in Maryland who is a member of Generation Z (age 18 to 26) and works as a software engineer.
"Geungsi (Chinese: jiangshi 僵尸) is a graphic novel series written and illustrated by Sean Lam, who is best known for his two part graphic novel adaption of New York Times bestselling Larry Niven's sci-fi novel Ringworld and Pope Benedict manga.","Novel York jiangshi sci-fi two novel adaption Benedict Sean of is graphic (Chinese: known Niven's is his Pope part best Times for graphic novel New Geungsi illustrated series bestselling 僵尸) a and and by Lam, written Ringworld Larry manga who.",You are a Native American non-binary person from a small town in South Dakota who is a Baby Boomer (age 59 to 77) and works as a lawyer.
